City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
200,Lodja,-3.4833,23.4333,73.71,35,87,CD,1.16,overcast clouds
201,Galveston,29.3669,-94.9669,93.15,76,100,US,6.85,overcast clouds
202,Mahebourg,-20.4081,57.7,68.29,94,75,MU,11.5,broken clouds
203,Pathein,16.7833,94.7333,77.13,92,100,MM,6.73,overcast clouds
204,Almeria,37.1667,-2.3333,71.29,75,98,ES,1.34,overcast clouds
205,Barrhead,55.7992,-4.3929,59.02,77,99,GB,1.99,overcast clouds
206,Tomari,47.7658,142.0683,63.7,75,13,RU,4.99,few clouds
207,Kodiak,57.79,-152.4072,57.72,88,93,US,5.17,overcast clouds
208,Haines Junction,60.7522,-137.5108,78.75,31,20,CA,4.61,few clouds
209,Qaanaaq,77.484,-69.3632,42.93,82,89,GL,1.1,overcast clouds
210,Ofunato,39.0717,141.7167,77.07,94,48,JP,5.97,scattered clouds
211,Hay River,60.8156,-115.7999,82.38,44,75,CA,6.91,broken clouds
212,Vanderhoof,54.0166,-124.0198,88.38,31,100,CA,0.63,overcast clouds
213,Eenhana,-17.4667,16.3333,60.55,37,0,NA,7.34,clear sky
214,Sioux Lookout,50.1001,-91.917,75.58,38,75,CA,9.22,broken clouds
215,Boa Vista,2.8197,-60.6733,76.98,83,75,BR,4.61,broken clouds
216,Santiago,-33.4569,-70.6483,80.04,13,0,CL,3.44,clear sky
217,Alice Springs,-23.7,133.8833,53.15,66,80,AU,9.22,broken clouds
218,Goderich,43.7501,-81.7165,66.9,77,66,CA,17.27,broken clouds
219,Narsaq,60.9167,-46.05,51.75,70,100,GL,3.71,light rain
220,Sault Sainte Marie,46.5168,-84.3333,67.82,64,75,CA,17.27,broken clouds
221,Borogontsy,62.6683,131.1683,66.58,40,37,RU,8.19,scattered clouds
222,Norman Wells,65.282,-126.8329,86.04,28,75,CA,4.61,smoke
223,Sao Joao Da Barra,-21.6403,-41.0511,64.49,66,92,BR,8.23,overcast clouds
224,Luanda,-8.8368,13.2343,73.4,88,75,AO,5.75,broken clouds
225,Eureka,40.8021,-124.1637,86.67,70,58,US,3.0,broken clouds
226,Maragogi,-9.0122,-35.2225,73.74,79,14,BR,14.9,few clouds
227,Yamada,39.4667,141.95,77.56,91,3,JP,9.75,clear sky
228,Lata,40.1629,-8.3327,67.05,99,100,PT,1.5,overcast clouds
229,Chigorodo,7.6664,-76.6811,80.33,91,98,CO,4.83,overcast clouds
230,Georgetown,5.4112,100.3354,75.88,92,20,MY,2.3,few clouds
231,Mokobeng,-22.9965,27.6678,57.15,34,0,BW,4.76,clear sky
232,Tshikapa,-6.4167,20.8,74.46,25,55,CD,2.93,broken clouds
233,Martapura,-3.4167,114.85,73.49,100,20,ID,1.14,few clouds
234,Tombouctou,20.0,-3.0,94.77,30,9,ML,6.69,clear sky
235,Ponot,8.452,123.0222,78.12,85,98,PH,5.88,overcast clouds
236,Lebu,-37.6167,-73.65,50.88,75,37,CL,19.08,scattered clouds
237,Maumere,-8.6199,122.2111,78.1,83,86,ID,8.59,overcast clouds
238,Cidreira,-30.1811,-50.2056,57.18,91,88,BR,7.0,overcast clouds
239,Coihaique,-45.5752,-72.0662,53.55,58,90,CL,6.91,overcast clouds
240,Pundaguitan,6.3711,126.1689,83.03,76,98,PH,6.42,moderate rain
241,Plettenberg Bay,-34.0527,23.3716,59.54,75,72,ZA,9.69,broken clouds
242,Mayo,38.8876,-76.5119,82.65,90,90,US,8.01,overcast clouds
243,Umm Lajj,25.0213,37.2685,87.58,48,5,SA,5.28,clear sky
244,San Patricio,28.017,-97.5169,97.52,48,99,US,16.55,overcast clouds
245,Zacualpan,21.25,-105.1667,90.72,68,9,MX,5.97,clear sky
246,Lompoc,34.6391,-120.4579,90.12,64,20,US,8.99,few clouds
247,Juba,4.8517,31.5825,72.75,79,97,SS,3.11,overcast clouds
248,Alexandria,31.2156,29.9553,81.14,89,0,EG,6.91,clear sky
249,Caconda,-13.7333,15.0667,58.39,30,2,AO,1.72,clear sky
250,Kargil,34.5667,76.1,56.39,58,1,IN,6.46,clear sky
251,Hithadhoo,-0.6,73.0833,81.07,72,91,MV,6.98,overcast clouds
252,Halifax,44.6453,-63.5724,73.29,68,1,CA,5.01,clear sky
253,Baglan,36.1307,68.7083,79.34,21,0,AF,3.91,clear sky
254,Saldanha,-33.0117,17.9442,48.25,88,71,ZA,8.93,broken clouds
255,Nerang,-27.9833,153.3333,67.66,93,1,AU,1.01,clear sky
256,Shebunino,46.4339,141.8603,64.85,82,75,RU,14.16,broken clouds
257,Naliya,23.2667,68.8333,81.03,82,100,IN,19.75,overcast clouds
258,Ilulissat,69.2167,-51.1,51.39,58,0,GL,10.11,clear sky
259,Tocopilla,-22.092,-70.1979,64.15,67,84,CL,5.41,broken clouds
260,Mapastepec,15.4333,-92.9,86.11,77,99,MX,3.24,overcast clouds
261,Ambon,-3.6954,128.1814,75.34,94,40,ID,8.05,scattered clouds
262,Nouadhibou,20.931,-17.0347,71.58,83,0,MR,11.5,clear sky
263,Isangel,-19.55,169.2667,68.11,88,75,VU,0.0,broken clouds
264,Katherine,-14.4667,132.2667,66.52,77,11,AU,1.14,few clouds
265,Yar-Sale,66.8333,70.8333,54.68,96,100,RU,16.93,light rain
266,Half Moon Bay,37.4636,-122.4286,88.92,65,33,US,1.01,scattered clouds
