City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
627,627,Nauta,-4.5061,-73.5757,82.13,59,58,PE,1.61,broken clouds
628,628,Presidente Medici,-11.1753,-61.9014,83.28,26,3,BR,3.44,clear sky
632,632,Kota Belud,6.351,116.4305,75.06,80,100,MY,7.67,overcast clouds
634,634,Fare,-16.7,-151.0167,77.05,68,48,PF,12.93,scattered clouds
637,637,Winnemucca,40.973,-117.7357,87.12,24,84,US,8.9,broken clouds
640,640,Tuyen Quang,21.8233,105.2181,76.75,98,100,VN,1.72,overcast clouds
643,643,Oyama,36.3,139.8,84.58,74,27,JP,4.9,scattered clouds
651,651,Dicabisagan,17.0818,122.4157,81.27,81,100,PH,3.31,overcast clouds
654,654,Santiago De Cuba,20.0247,-75.8219,89.22,71,13,CU,5.23,few clouds
656,656,Shubarkuduk,49.1447,56.4872,83.1,33,48,KZ,6.51,scattered clouds
657,657,Sitges,41.2351,1.8119,75.0,62,93,ES,5.26,overcast clouds
658,658,Digha,21.6833,87.55,82.36,82,99,IN,8.7,overcast clouds
660,660,Isla Mujeres,21.2311,-86.731,87.17,68,0,MX,10.85,clear sky
661,661,Hobyo,5.3505,48.5268,77.4,80,6,SO,22.7,clear sky
672,672,Isabela,6.7085,121.9711,79.2,87,100,PH,4.27,light rain
676,676,Kupang,-10.1667,123.5833,75.78,88,20,ID,9.22,few clouds
677,677,Qom,34.6401,50.8764,89.19,14,53,IR,16.58,broken clouds
682,682,Umm Kaddadah,13.6017,26.6876,82.35,59,15,SD,20.8,few clouds
688,688,Morant Bay,17.8815,-76.4093,83.66,79,20,JM,12.82,few clouds
689,689,Twin Falls,42.3505,-114.6445,80.37,45,100,US,12.68,overcast clouds
691,691,Mitsamiouli,-11.3847,43.2844,76.23,72,1,KM,4.38,clear sky
693,693,Thanh Hoa,19.8,105.7667,77.54,93,98,VN,3.27,moderate rain
695,695,Pizarro,4.9533,-77.366,81.37,80,84,CO,7.83,broken clouds
696,696,Sarakhs,36.5449,61.1577,78.28,16,0,IR,10.33,clear sky
699,699,Malabor,11.2729,122.0466,81.97,83,100,PH,11.23,overcast clouds
703,703,Patitirion,39.15,23.8667,87.37,63,0,GR,4.23,clear sky
705,705,Despotovac,44.0925,21.4469,78.93,37,10,RS,5.53,clear sky
706,706,Pajapan,18.25,-94.7,84.7,65,95,MX,8.57,overcast clouds
707,707,Grand-Santi,4.25,-54.3833,75.4,94,100,GF,2.39,moderate rain
708,708,Cayenne,4.9333,-52.3333,84.24,79,0,GF,3.0,clear sky
709,709,Saint Anthony,45.0205,-93.218,80.94,38,75,US,4.0,broken clouds
713,713,Turbat,26.0023,63.044,89.06,61,99,PK,7.49,overcast clouds
721,721,Lixourion,38.2019,20.4314,83.03,47,0,GR,2.35,clear sky
